Verb,Tense,Pronoun,ConjugatedVerb
to make,Future perfect,we will have ,made
to make,Future perfect,you will have ,made
to make,Future perfect,they will have ,made
to make,Future perfect continuous,I will have been ,making
to make,Future perfect continuous,you will have been ,making
to make,Future perfect continuous,he will have been ,making
to make,Future perfect continuous,we will have been ,making
to make,Future perfect continuous,you will have been ,making
to make,Future perfect continuous,they will have been ,making
to want,Present (simple),I ,want
to want,Present (simple),you ,want
to want,Present (simple),he ,wants
to want,Present (simple),we ,want
to want,Present (simple),you ,want
to want,Present (simple),they ,want
to want,Present progressive / continuous,I am ,wanting
to want,Present progressive / continuous,you are ,wanting
to want,Present progressive / continuous,he is ,wanting
to want,Present progressive / continuous,we are ,wanting
to want,Present progressive / continuous,you are ,wanting
to want,Present progressive / continuous,they are ,wanting
to want,Past (simple),I ,wanted
to want,Past (simple),you ,wanted
to want,Past (simple),he ,wanted
to want,Past (simple),we ,wanted
to want,Past (simple),you ,wanted
to want,Past (simple),they ,wanted
to want,Past progressive / continuous,I was ,wanting
to want,Past progressive / continuous,you were ,wanting
to want,Past progressive / continuous,he was ,wanting
to want,Past progressive / continuous,we were ,wanting
to want,Past progressive / continuous,you were ,wanting
to want,Past progressive / continuous,they were ,wanting
to want,Present perfect (simple),I have ,wanted
to want,Present perfect (simple),you have ,wanted
to want,Present perfect (simple),he has ,wanted
to want,Present perfect (simple),we have ,wanted
to want,Present perfect (simple),you have ,wanted
to want,Present perfect (simple),they have ,wanted
to want,Present perfect progressive / continuous,I have been ,wanting
to want,Present perfect progressive / continuous,you have been ,wanting
to want,Present perfect progressive / continuous,he has been ,wanting
to want,Present perfect progressive / continuous,we have been ,wanting
to want,Present perfect progressive / continuous,you have been ,wanting
to want,Present perfect progressive / continuous,they have been ,wanting
to want,Past perfect,I had ,wanted
to want,Past perfect,you had ,wanted
to want,Past perfect,he had ,wanted
to want,Past perfect,we had ,wanted
to want,Past perfect,you had ,wanted
to want,Past perfect,they had ,wanted
to want,Past perfect progressive / continuous,I had been ,wanting
to want,Past perfect progressive / continuous,you had been ,wanting
to want,Past perfect progressive / continuous,he had been ,wanting
to want,Past perfect progressive / continuous,we had been ,wanting
to want,Past perfect progressive / continuous,you had been ,wanting
to want,Past perfect progressive / continuous,they had been ,wanting
to want,Future,I will ,want
to want,Future,you will ,want
to want,Future,he will ,want
to want,Future,we will ,want
to want,Future,you will ,want
to want,Future,they will ,want
to want,Future progressive / continuous,I will be ,wanting
to want,Future progressive / continuous,you will be ,wanting
to want,Future progressive / continuous,he will be ,wanting
to want,Future progressive / continuous,we will be ,wanting
to want,Future progressive / continuous,you will be ,wanting
to want,Future progressive / continuous,they will be ,wanting
to want,Future perfect,I will have ,wanted
to want,Future perfect,you will have ,wanted
to want,Future perfect,he will have ,wanted
to want,Future perfect,we will have ,wanted
to want,Future perfect,you will have ,wanted
to want,Future perfect,they will have ,wanted
to want,Future perfect continuous,I will have been ,wanting
to want,Future perfect continuous,you will have been ,wanting
to want,Future perfect continuous,he will have been ,wanting
to want,Future perfect continuous,we will have been ,wanting
to want,Future perfect continuous,you will have been ,wanting
to want,Future perfect continuous,they will have been ,wanting
to need,Present (simple),I ,need
to need,Present (simple),you ,need
to need,Present (simple),he ,needs
to need,Present (simple),we ,need
to need,Present (simple),you ,need
to need,Present (simple),they ,need
to need,Present progressive / continuous,I am ,needing
to need,Present progressive / continuous,you are ,needing
to need,Present progressive / continuous,he is ,needing
to need,Present progressive / continuous,we are ,needing
to need,Present progressive / continuous,you are ,needing
to need,Present progressive / continuous,they are ,needing
to need,Past (simple),I ,needed
to need,Past (simple),you ,needed
to need,Past (simple),he ,needed
to need,Past (simple),we ,needed
to need,Past (simple),you ,needed
to need,Past (simple),they ,needed
to need,Past progressive / continuous,I was ,needing
to need,Past progressive / continuous,you were ,needing
to need,Past progressive / continuous,he was ,needing
to need,Past progressive / continuous,we were ,needing
to need,Past progressive / continuous,you were ,needing
to need,Past progressive / continuous,they were ,needing
to need,Present perfect (simple),I have ,needed
to need,Present perfect (simple),you have ,needed
to need,Present perfect (simple),he has ,needed
to need,Present perfect (simple),we have ,needed
to need,Present perfect (simple),you have ,needed
to need,Present perfect (simple),they have ,needed
to need,Present perfect progressive / continuous,I have been ,needing
to need,Present perfect progressive / continuous,you have been ,needing
to need,Present perfect progressive / continuous,he has been ,needing
to need,Present perfect progressive / continuous,we have been ,needing
to need,Present perfect progressive / continuous,you have been ,needing
to need,Present perfect progressive / continuous,they have been ,needing
to need,Past perfect,I had ,needed
to need,Past perfect,you had ,needed
to need,Past perfect,he had ,needed
to need,Past perfect,we had ,needed
to need,Past perfect,you had ,needed
to need,Past perfect,they had ,needed
to need,Past perfect progressive / continuous,I had been ,needing
to need,Past perfect progressive / continuous,you had been ,needing
to need,Past perfect progressive / continuous,he had been ,needing
to need,Past perfect progressive / continuous,we had been ,needing
to need,Past perfect progressive / continuous,you had been ,needing
to need,Past perfect progressive / continuous,they had been ,needing
to need,Future,I will ,need
to need,Future,you will ,need
to need,Future,he will ,need
to need,Future,we will ,need
to need,Future,you will ,need
to need,Future,they will ,need
